"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS","PLAN","GBI_LVL_YR","GBI_MON","TAX_RATE","HH_HOURS1","HH_HOURS2","HH_HOURS3","HH_HOURS4","HH_HOURS5","HH_HOURS6","HH_HOURS7","HH_HOURS8","HH_HOURS9","HH_HOURS10","HH_HOURS11","HH_WAGE1","HH_WAGE2","HH_WAGE3","HH_WAGE4","HH_WAGE5","HH_WAGE6","HH_WAGE7","HH_WAGE8","HH_WAGE9","HH_WAGE10","HH_WAGE11","HH_WAGE0","HH_HOURS0","PAYMENT1","PAYMENT2","PAYMENT3","PAYMENT4","PAYMENT5","PAYMENT6","PAYMENT7","PAYMENT8","PAYMENT9","PAYMENT10","PAYMENT11"
"17",1776,"Winnipeg",3,1,12432,430,0,"Canadian","Canadian",28.9116279069767,14000,1050,NA,2500,300,1,3800,316.666666666667,0.35,1196,461,728,448,1119,373,424,708,402,592,959,891,500,900,649,697,697,697,697,821,821,821,666.666666666667,35.8333333333333,4.81666666666672,141.666666666667,1.66666666666669,89.5166666666667,72.7166666666667,72.7166666666667,72.7166666666667,72.7166666666667,29.3166666666667,29.3166666666667,29.3166666666667
"18",1779,"Winnipeg",3,4,4703,1070,0,"English","English",4.39532710280374,NA,2500,NA,1000,850,4,4800,400,0.5,2507,1194,577,0,0,0,0,0,0,0,0,187,187,196,0,0,0,0,0,0,0,0,141.666666666667,89.1666666666667,306.5,306.5,302,400,400,400,400,400,400,400,400
"19",1794,"Winnipeg",1,1,8716,NA,1,NA,"Philippine",NA,NA,0,NA,560,50,1,3800,316.666666666667,0.35,920,511,0,0,0,104,254,336,484,248,592,246,274,0,0,0,393,280,295,302,325,335,NA,NA,230.566666666667,220.766666666667,316.666666666667,316.666666666667,316.666666666667,179.116666666667,218.666666666667,213.416666666667,210.966666666667,202.916666666667,199.416666666667
"20",1834,"Winnipeg",2,8,4054,NA,0,NA,NA,NA,30000,0,NA,2100,400,8,5800,483.333333333333,0.75,0,0,0,0,0,56,16,32,200,162,44,0,0,0,0,0,275,275,275,346,346,346,NA,NA,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,277.083333333333,277.083333333333,277.083333333333,223.833333333333,223.833333333333,223.833333333333
"21",1906,"Winnipeg",1,8,17874,NA,0,NA,"German",NA,NA,0,NA,NA,0,8,5800,483.333333333333,0.75,1336,52,339,275,310,917,801,546,600,829,615,218,220,250,196,293,288,302,325,391,392,439,NA,NA,319.833333333333,318.333333333333,295.833333333333,336.333333333333,263.583333333333,267.333333333333,256.833333333333,239.583333333333,190.083333333333,189.333333333333,154.083333333333
"22",1920,"Winnipeg",5,4,8724,445,0,NA,NA,19.6044943820225,9000,600,NA,500,6500,4,4800,400,0.5,1011,71,1138,552,1236,423,750,1586,776,1332,1354,450,507,576,574,634,934,934,959,1096,1096,1121,676.25,37.0833333333333,175,146.5,112,113,83,0,0,0,0,0,0
"23",1959,"Winnipeg",5,4,8479,765,0,"Irish","Ukrainian",11.083660130719,NA,250,NA,0,1775,4,4800,400,0.5,1866,10,340,633,232,1060,327,360,756,0,128,387,415,484,396,518,858,858,445,465,0,0,371.833333333333,63.75,206.5,192.5,158,202,141,0,0,177.5,167.5,400,400
"24",2006,"Winnipeg",3,8,8095,763,0,"Irish","Irish",10.6094364351245,NA,500,NA,700,1525,8,5800,483.333333333333,0.75,823,117,422,466,334,786,614,657,556,732,1059,323,355,410,409,430,541,541,797,482,835,901,554.416666666667,63.5833333333333,241.083333333333,217.083333333333,175.833333333333,176.583333333333,160.833333333333,77.5833333333333,77.5833333333333,0,121.833333333333,0,0
"25",2011,"Winnipeg",4,4,9830,655,0,"Canadian","Canadian",15.0076335877863,NA,1000,NA,1300,4250,4,4800,400,0.5,1808,74,903,1040,871,1661,468,466,776,534,844,443,433,643,678,734,752,528,528,528,578,348,575.833333333333,54.5833333333333,178.5,183.5,78.5,61,33,24,136,136,136,111,226
"26",2039,"Winnipeg",1,8,13875,NA,0,NA,"Ukrainian",NA,NA,0,NA,0,0,8,5800,483.333333333333,0.75,660,80,741,541,951,286,458,265,0,0,353,228,245,290,290,327,342,342,342,0,0,366,NA,NA,312.333333333333,299.583333333333,265.833333333333,265.833333333333,238.083333333333,226.833333333333,226.833333333333,226.833333333333,483.333333333333,483.333333333333,208.833333333333
"27",2169,"Winnipeg",2,7,12589,400,0,"Scottish",NA,31.4725,NA,400,NA,600,1000,7,4800,400,0.75,1351,473,456,624,822,278,560,375,824,496,976,417,405,432,442,552,552,552,660,660,652,739,425.666666666667,33.3333333333333,87.25,96.25,76,68.5,0,0,0,0,0,0,0
"28",2198,"Winnipeg",4,8,13787,800,0,"German","English",17.23375,27900,2225,NA,NA,840,8,5800,483.333333333333,0.75,3183,526,1254,272,692,284,558,753,580,584,701,419,457,603,373,491,491,491,562,750,750,832,920.333333333333,66.6666666666667,169.083333333333,140.583333333333,31.0833333333333,203.583333333333,115.083333333333,115.083333333333,115.083333333333,61.8333333333333,0,0,0
"29",2219,"Winnipeg",2,9,2513,NA,0,NA,"Canadian",NA,20000,0,NA,NA,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"30",2233,"Winnipeg",6,4,8803,775,1,"Other","Other",11.3587096774194,NA,100,NA,3800,0,4,4800,400,0.5,745,95,360,420,474,668,406,560,410,546,679,447,470,498,557,586,615,633,702,718,717,704,715.166666666667,64.5833333333333,176.5,165,151,121.5,107,92.5,83.5,49,41,41.5,48
"31",2248,"Winnipeg",4,1,10487,1360,0,NA,NA,7.71102941176471,22500,0,NA,1200,500,1,3800,316.666666666667,0.35,1467,22,647,0,856,244,411,560,1177,1020,923,529,300,540,0,332,371,371,690,730,770,753,585,113.333333333333,131.516666666667,211.666666666667,127.666666666667,316.666666666667,200.466666666667,186.816666666667,186.816666666667,75.1666666666667,61.1666666666667,47.1666666666667,53.1166666666667
