"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS","PLAN","GBI_LVL_YR","GBI_MON","TAX_RATE","HH_HOURS1","HH_HOURS2","HH_HOURS3","HH_HOURS4","HH_HOURS5","HH_HOURS6","HH_HOURS7","HH_HOURS8","HH_HOURS9","HH_HOURS10","HH_HOURS11","HH_WAGE1","HH_WAGE2","HH_WAGE3","HH_WAGE4","HH_WAGE5","HH_WAGE6","HH_WAGE7","HH_WAGE8","HH_WAGE9","HH_WAGE10","HH_WAGE11","HH_WAGE0","HH_HOURS0","PAYMENT1","PAYMENT2","PAYMENT3","PAYMENT4","PAYMENT5","PAYMENT6","PAYMENT7","PAYMENT8","PAYMENT9","PAYMENT10","PAYMENT11"
"226",8093,"Winnipeg",3,7,12150,800,0,"Scottish","Scottish",15.1875,NA,1200,NA,1500,1170,7,4800,400,0.75,1174,81,1150,696,1302,399,441,1133,610,823,1902,542,867,975,892,1014,1014,1034,1080,1176,1176,1204,752.333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"227",8124,"Winnipeg",7,5,9899,800,0,"Canadian","Canadian",12.37375,21000,1850,NA,380,4500,5,5800,483.333333333333,0.5,1149,69,311,293,0,0,0,0,0,0,0,502,495,496,496,0,0,0,0,0,0,0,632.333333333333,66.6666666666667,232.333333333333,235.833333333333,235.333333333333,235.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"228",8144,"Winnipeg",5,2,6064,NA,0,NA,"French",NA,NA,0,NA,NA,3088,2,4800,400,0.35,1361,424,488,558,743,248,510,968,322,457,765,325,312,377,427,428,428,437,420,420,458,430,455,NA,286.25,290.8,268.05,250.55,250.2,250.2,247.05,253,253,239.7,249.5
"229",8173,"Winnipeg",5,7,8460,720,0,NA,"Canadian",11.75,NA,200,NA,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.666666666667,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",8193,"Winnipeg",3,2,2498,400,0,NA,"English",6.245,NA,0,NA,0,0,2,4800,400,0.35,0,0,0,0,0,0,48,88,0,0,176,0,0,0,0,0,0,14,14,0,0,200,0,33.3333333333333,400,400,400,400,400,400,395.1,395.1,400,400,330
"231",8227,"Winnipeg",6,9,3016,NA,0,NA,NA,NA,NA,0,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"232",8229,"Winnipeg",4,9,8126,460,0,NA,"English",17.6652173913043,20000,700,NA,2800,0,9,0,0,0,1194,64,837,410,375,1091,370,481,1149,637,1094,421,422,454,454,503,530,530,850,870,900,944,452,38.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"233",8254,"Winnipeg",4,5,13090,600,0,"English","English",21.8166666666667,30000,1800,NA,11064,0,5,5800,483.333333333333,0.5,1754,113,1400,688,1388,428,699,850,1365,506,1564,674,668,728,753,753,758,778,842,880,909,909,793.166666666667,50,146.333333333333,149.333333333333,119.333333333333,106.833333333333,106.833333333333,104.333333333333,94.3333333333333,62.3333333333333,43.3333333333333,28.8333333333333,28.8333333333333
"234",8267,"Winnipeg",5,3,6323,130,0,NA,"Canadian",48.6384615384615,45000,1000,NA,7000,1050,3,3800,316.666666666667,0.5,26,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,10.8333333333333,162.166666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"235",8283,"Winnipeg",2,5,7565,800,1,"Canadian","Black",9.45625,NA,4500,NA,0,7300,5,5800,483.333333333333,0.5,2440,401,1258,247,681,69,293,308,202,138,88,500,500,500,296,546,642,655,668,696,696,991,500,66.6666666666667,233.333333333333,233.333333333333,233.333333333333,335.333333333333,210.333333333333,162.333333333333,155.833333333333,149.333333333333,135.333333333333,135.333333333333,0
"236",8315,"Winnipeg",4,9,8222,800,0,"Canadian","Canadian",10.2775,NA,650,NA,585,870,9,0,0,0,624,482,1184,280,608,264,512,304,872,560,896,430,428,520,534,522,522,532,565,521,583,908,484.416666666667,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"237",8383,"Winnipeg",6,9,11472,800,0,"Canadian","Canadian",14.34,NA,5300,NA,1200,2300,9,0,0,0,3244,847,1240,1219,1547,592,837,960,383,744,509,655,626,675,727,763,763,705,705,749,749,202,1019.58333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"238",8399,"Winnipeg",3,9,NA,400,0,NA,"Canadian",NA,NA,200,NA,0,8000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"239",8444,"Winnipeg",1,3,19817,NA,0,NA,"Canadian",NA,NA,3500,NA,900,3000,3,3800,316.666666666667,0.5,1086,84,772,581,912,252,576,528,968,572,840,381,440,598,496,619,619,668,668,691,732,744,NA,NA,126.166666666667,96.6666666666667,17.6666666666667,68.6666666666667,7.16666666666669,7.16666666666669,0,0,0,0,0
"240",8531,"Winnipeg",10,7,6226,800,0,"English","English",7.7825,NA,NA,NA,0,3600,7,4800,400,0.75,2198,80,1100,768,1531,649,824,659,758,1112,1469,520,610,665,526,733,758,758,769,705,643,642,346.666666666667,66.6666666666667,10,0,0,5.5,0,0,0,0,0,0,0
"241",8552,"Winnipeg",1,4,16662,NA,0,"German",NA,NA,NA,0,NA,1200,900,4,4800,400,0.5,900,0,0,0,380,430,647,304,728,393,408,420,0,0,0,375,474,517,554,586,530,525,NA,NA,190,400,400,400,212.5,163,141.5,123,107,135,137.5
"242",8585,"Winnipeg",2,5,16130,640,0,"Ukrainian","Ukrainian",25.203125,NA,4500,NA,1050,4850,5,5800,483.333333333333,0.5,2125,463,632,664,1848,772,1130,712,1072,1136,1393,641,520,530,779,841,646,700,904,954,482,912,783.333333333333,53.3333333333333,162.833333333333,223.333333333333,218.333333333333,93.8333333333333,62.8333333333333,160.333333333333,133.333333333333,31.3333333333333,6.33333333333331,242.333333333333,27.3333333333333
"243",8594,"Winnipeg",4,1,12791,840,0,"Ukrainian","Ukrainian",15.227380952381,NA,3500,NA,1400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.666666666667,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",8599,"Winnipeg",3,4,8598,800,0,"Canadian","Canadian",10.7475,16000,400,NA,0,2375,4,4800,400,0.5,2783,435,620,560,896,0,0,0,0,0,0,358,346,346,346,373,0,0,0,0,0,0,516.666666666667,66.6666666666667,221,227,227,227,213.5,400,400,400,400,400,400
"245",8600,"Winnipeg",3,5,6319,640,0,NA,"English",9.8734375,NA,0,NA,3,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.416666666667,53.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",8632,"Winnipeg",6,5,8969,800,0,"Canadian","Canadian",11.21125,9000,1625,NA,0,7300,5,5800,483.333333333333,0.5,571,11,112,582,777,588,883,516,1011,360,1066,504,215,652,994,1585,800,1563,1563,1563,1280,801,366.666666666667,66.6666666666667,231.333333333333,375.833333333333,157.333333333333,0,0,83.3333333333333,0,0,0,0,82.8333333333333
"247",8635,"Winnipeg",4,9,8601,815,0,NA,NA,10.5533742331288,20000,3400,NA,0,4900,9,0,0,0,1174,463,607,360,0,707,727,394,1011,697,778,383,468,468,396,0,570,616,458,678,562,562,509.916666666667,67.9166666666667,0,0,0,0,0,0,0,0,0,0,0
"248",8651,"Winnipeg",1,5,6252,NA,0,NA,"Belgian/Dutch",NA,12000,0,NA,4500,0,5,5800,483.333333333333,0.5,571,46,475,395,405,688,300,270,405,470,455,190,215,230,196,260,260,260,295,295,295,295,NA,NA,388.333333333333,375.833333333333,368.333333333333,385.333333333333,353.333333333333,353.333333333333,353.333333333333,335.833333333333,335.833333333333,335.833333333333,335.833333333333
"249",8660,"Winnipeg",3,5,7664,800,0,"Canadian","Canadian",9.58,NA,500,NA,0,0,5,5800,483.333333333333,0.5,1155,0,520,744,256,784,824,576,408,992,800,465,0,442,496,520,520,576,576,562,643,654,630.75,66.6666666666667,250.833333333333,483.333333333333,262.333333333333,235.333333333333,223.333333333333,223.333333333333,195.333333333333,195.333333333333,202.333333333333,161.833333333333,156.333333333333
"250",8671,"Winnipeg",4,5,10396,775,0,"Ukrainian","Ukrainian",13.4141935483871,27000,2700,16000,NA,0,5,5800,483.333333333333,0.5,1558,440,244,319,586,654,553,367,905,522,675,504,528,552,552,576,576,605,605,725,725,725,775,64.5833333333333,231.333333333333,219.333333333333,207.333333333333,207.333333333333,195.333333333333,195.333333333333,180.833333333333,180.833333333333,120.833333333333,120.833333333333,120.833333333333
"251",8707,"Winnipeg",1,3,775,NA,0,NA,NA,NA,NA,0,NA,0,0,3,3800,316.666666666667,0.5,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,NA,NA,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"252",8779,"Winnipeg",6,5,6748,800,0,"Canadian","English",8.435,18000,300,NA,0,120,5,5800,483.333333333333,0.5,920,494,258,616,384,880,512,616,680,480,728,328,431,431,482,503,496,496,496,534,534,578,616.833333333333,66.6666666666667,319.333333333333,267.833333333333,267.833333333333,242.333333333333,231.833333333333,235.333333333333,235.333333333333,235.333333333333,216.333333333333,216.333333333333,194.333333333333
"253",8811,"Winnipeg",4,1,16176,760,0,"Ukrainian","Canadian",21.2842105263158,20000,3800,NA,2000,918,1,3800,316.666666666667,0.35,2864,814,1122,1112,1635,514,832,792,1757,1300,1352,543,660,723,693,789,789,839,864,909,909,909,804.166666666667,63.3333333333333,126.616666666667,85.6666666666667,63.6166666666667,74.1166666666667,40.5166666666667,40.5166666666667,23.0166666666667,14.2666666666667,0,0,0
"254",8865,"Winnipeg",1,3,858,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",8879,"Winnipeg",7,8,6980,800,0,"Canadian","Canadian",8.725,NA,300,NA,4000,1246,8,5800,483.333333333333,0.75,114,3,240,432,138,780,224,708,483,754,1198,240,306,306,296,240,240,270,270,305,305,305,402.083333333333,66.6666666666667,303.333333333333,253.833333333333,253.833333333333,261.333333333333,303.333333333333,303.333333333333,280.833333333333,280.833333333333,254.583333333333,254.583333333333,254.583333333333
"256",9100,"Winnipeg",1,2,10159,NA,1,NA,"Philippine",NA,NA,0,NA,300,0,2,4800,400,0.35,886,90,1025,751,616,664,504,716,715,679,648,190,215,230,218,260,260,270,287,320,0,0,NA,NA,333.5,324.75,319.5,323.7,309,309,305.5,299.55,288,400,400
"257",9101,"Winnipeg",1,2,9755,NA,0,NA,NA,NA,NA,0,NA,600,0,2,4800,400,0.35,969,80,488,656,711,704,1096,640,458,773,1121,190,240,240,196,255,280,277,317,317,325,332,NA,NA,333.5,316,316,331.4,310.75,302,303.05,289.05,289.05,286.25,283.8
"258",9110,NA,NA,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",9119,"Winnipeg",2,6,7430,1000,0,"Canadian","Canadian",7.43,NA,0,NA,0,1250,6,3800,316.666666666667,0.75,1774,160,1817,839,1698,324,916,1065,1907,708,1080,467,553,606,542,752,462,722,791,809,514,514,208.333333333333,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"260",9150,"Winnipeg",5,8,15614,775,0,NA,NA,20.1470967741935,NA,2000,8050,1000,8000,8,5800,483.333333333333,0.75,2088,210,1270,1288,1086,1234,1759,1936,1316,1789,1421,637,733,726,845,869,895,942,1015,1015,1041,1074,1206.08333333333,64.5833333333333,5.58333333333331,0,0,0,0,0,0,0,0,0,0
"261",9207,"Winnipeg",2,2,8195,941,0,"French","French",8.70882040382572,NA,1200,15000,502,0,2,4800,400,0.35,1580,613,347,160,1213,585,420,0,0,0,0,346,450,451,451,907,907,942,0,0,0,0,408.333333333333,78.4166666666667,278.9,242.5,242.15,242.15,82.55,82.55,70.3,400,400,400,400
"262",9227,"Winnipeg",1,1,2786,NA,0,NA,"English",NA,NA,250,NA,300,1400,1,3800,316.666666666667,0.35,0,0,0,143,264,0,0,0,0,0,0,0,0,0,299,300,0,0,0,0,0,0,NA,NA,316.666666666667,316.666666666667,316.666666666667,212.016666666667,211.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"263",9235,"Winnipeg",2,9,5796,NA,0,NA,NA,NA,NA,0,NA,800,149,9,0,0,0,0,0,0,0,34,135,28,434,0,0,0,0,0,0,0,348,348,325,427,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"264",9365,"Winnipeg",2,9,9767,NA,0,NA,NA,NA,NA,0,NA,14000,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"265",9374,"Winnipeg",1,4,6901,NA,0,NA,"Jewish",NA,NA,0,NA,0,200,4,4800,400,0.5,0,0,56,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,NA,NA,400,400,285,400,400,400,400,400,400,400,400
"266",9519,"Winnipeg",2,9,19380,775,1,"Chinese","Canadian",25.0064516129032,NA,1200,NA,3150,100,9,0,0,0,1345,56,636,668,653,248,450,488,758,585,698,357,375,422,422,422,422,460,485,485,500,550,356.666666666667,64.5833333333333,0,0,0,0,0,0,0,0,0,0,0
"267",9553,"Winnipeg",1,1,14652,NA,0,NA,NA,NA,NA,100,NA,30,650,1,3800,316.666666666667,0.35,880,487,311,483,336,696,536,599,840,420,570,289,317,317,346,346,404,404,404,404,404,404,NA,NA,215.516666666667,205.716666666667,205.716666666667,195.566666666667,195.566666666667,175.266666666667,175.266666666667,175.266666666667,175.266666666667,175.266666666667,175.266666666667
"268",9612,"Winnipeg",1,3,4054,NA,0,NA,"Canadian",NA,NA,0,NA,537,205,3,3800,316.666666666667,0.5,300,0,0,292,315,0,0,0,0,0,143,305,0,0,346,346,0,0,0,0,0,522,NA,NA,164.166666666667,316.666666666667,316.666666666667,143.666666666667,143.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,55.6666666666667
"269",9617,"Winnipeg",2,8,9326,633,0,NA,NA,14.7330173775671,NA,0,NA,100,1224,8,5800,483.333333333333,0.75,1405,95,899,690,486,792,598,532,989,888,777,537,627,581,331,467,532,532,532,872,923,923,463.833333333333,52.75,80.5833333333333,13.0833333333333,47.5833333333333,235.083333333333,133.083333333333,84.3333333333333,84.3333333333333,84.3333333333333,0,0,0
"270",9625,"Winnipeg",2,9,7590,NA,0,NA,NA,NA,NA,0,NA,485,474,9,0,0,0,1243,57,630,338,873,263,468,432,787,591,685,275,254,309,309,341,341,341,352,384,384,384,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"271",9673,"Winnipeg",6,6,3181,400,0,"Metis",NA,7.9525,NA,450,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",9676,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",9679,"Winnipeg",5,4,9878,615,0,"Canadian","Russian",16.0617886178862,30000,400,NA,2600,500,4,4800,400,0.5,1342,904,953,532,421,688,518,495,555,623,653,578,833,647,695,412,412,450,450,450,475,476,522.416666666667,51.25,111,0,76.5,52.5,194,194,175,175,175,162.5,162
"274",9749,"Winnipeg",2,4,3894,0,0,NA,NA,0,NA,0,NA,0,0,4,4800,400,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,400,400,400,400,400,400,400
"275",9776,"Winnipeg",6,3,7323,530,0,"Canadian","Canadian",13.8169811320755,25000,0,NA,14000,700,3,3800,316.666666666667,0.5,1185,75,431,657,418,240,520,488,84,414,717,819,470,520,496,520,560,610,610,670,725,837,NA,44.1666666666667,0,81.6666666666667,56.6666666666667,68.6666666666667,56.6666666666667,36.6666666666667,11.6666666666667,11.6666666666667,0,0,0
"276",9786,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",9798,"Winnipeg",4,2,5967,800,0,"Italian","Italian",7.45875,22000,3600,NA,6400,9000,2,4800,400,0.35,1032,477,372,562,530,726,350,794,990,695,371,363,400,400,396,460,460,814,809,765,797,911,586.25,66.6666666666667,272.95,260,260,261.4,239,239,115.1,116.85,132.25,121.05,81.15
"278",9800,"Winnipeg",2,8,4037,NA,0,NA,"Yugoslavian/Czech/Hungarian",NA,19000,0,NA,2500,245,8,5800,483.333333333333,0.75,696,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,NA,NA,340.833333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"279",9837,"Winnipeg",7,7,7983,800,0,"Canadian","Canadian",9.97875,45000,2600,NA,700,240,7,4800,400,0.75,1196,472,568,457,836,376,472,480,936,344,1783,512,515,580,496,580,580,580,645,645,645,985,831.083333333333,66.6666666666667,16,13.75,0,28,0,0,0,0,0,0,0
"280",9957,"Winnipeg",6,8,8680,940,0,"Spanish/Portuguese","Spanish/Portuguese",9.23404255319149,18000,0,NA,0,5000,8,5800,483.333333333333,0.75,2848,429,669,595,608,272,692,697,1329,869,1344,632,442,470,396,459,429,632,720,807,814,849,421.333333333333,78.3333333333333,9.33333333333331,151.833333333333,130.833333333333,186.333333333333,139.083333333333,161.583333333333,9.33333333333331,0,0,0,0
"281",9971,"Winnipeg",4,3,8661,750,0,NA,"German",11.548,20000,0,NA,0,1400,3,3800,316.666666666667,0.5,1017,65,808,699,596,707,480,608,744,464,952,425,450,450,670,730,500,500,550,650,650,725,479.5,62.5,104.166666666667,91.6666666666667,91.6666666666667,0,0,66.6666666666667,66.6666666666667,41.6666666666667,0,0,0
"282",10021,"Winnipeg",4,2,NA,880,1,"Philippine","Philippine",NA,22000,2900,NA,NA,4600,2,4800,400,0.35,1485,903,968,880,536,810,491,496,744,589,816,690,670,710,681,475,505,505,550,585,585,615,773.333333333333,73.3333333333333,158.5,165.5,151.5,161.65,233.75,223.25,223.25,207.5,195.25,195.25,184.75
"283",10023,"Winnipeg",5,9,6763,800,0,"Canadian","Canadian",8.45375,NA,100,NA,1300,2300,9,0,0,0,1014,71,788,459,371,663,612,511,673,630,846,426,465,444,496,544,584,584,614,614,614,665,632.916666666667,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"284",10065,"Winnipeg",5,1,9352,800,0,"Canadian","Canadian",11.69,27000,6300,NA,NA,5000,1,3800,316.666666666667,0.35,1080,472,442,576,533,270,441,332,746,538,455,445,443,444,496,584,584,584,614,614,614,665,758.333333333333,66.6666666666667,160.916666666667,161.616666666667,161.266666666667,143.066666666667,112.266666666667,112.266666666667,112.266666666667,101.766666666667,101.766666666667,101.766666666667,83.9166666666667
"285",10077,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",10140,"Winnipeg",5,5,4911,NA,0,NA,NA,NA,NA,0,NA,0,0,5,5800,483.333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"287",10150,"Winnipeg",4,4,8500,530,0,"Canadian","Canadian",16.0377358490566,19000,1700,NA,NA,1700,4,4800,400,0.5,1474,800,710,613,624,800,296,408,656,480,1136,739,883,853,792,603,608,675,675,731,731,731,877.5,44.1666666666667,30.5,0,0,4,98.5,96,62.5,62.5,34.5,34.5,34.5
"288",10162,"Winnipeg",5,4,10171,800,0,"French","French",12.71375,30000,400,NA,5800,0,4,4800,400,0.5,373,0,1207,592,360,386,90,380,905,1197,670,485,0,250,558,650,750,750,675,675,703,760,583.333333333333,66.6666666666667,157.5,400,275,121,75,25,25,62.5,62.5,48.5,20
"289",10170,"Winnipeg",4,3,3733,NA,0,NA,"Canadian",NA,NA,0,NA,0,0,3,3800,316.666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"290",10177,"Winnipeg",4,9,6797,800,0,"Canadian","Canadian",8.49625,10000,100,400,0,NA,9,0,0,0,1320,621,1172,352,656,232,424,584,744,560,664,289,287,312,312,312,312,312,312,312,325,325,558.333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"291",10254,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",10256,"Winnipeg",1,8,4028,NA,0,NA,NA,NA,NA,0,NA,200,0,8,5800,483.333333333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"293",10262,"Winnipeg",3,4,9080,490,0,"Canadian","Canadian",18.530612244898,NA,4500,NA,NA,5000,4,4800,400,0.5,1016,110,1188,888,445,718,918,606,1176,364,771,555,574,595,592,625,625,637,657,951,401,905,339.833333333333,40.8333333333333,122.5,113,102.5,104,87.5,87.5,81.5,71.5,0,199.5,0
"294",10288,"Winnipeg",3,6,6030,NA,0,"Ukrainian",NA,NA,NA,500,NA,150,275,6,3800,316.666666666667,0.75,1209,0,623,646,589,807,681,632,727,0,0,216,250,263,402,454,472,821,744,499,0,0,NA,NA,154.666666666667,129.166666666667,119.416666666667,15.1666666666667,0,0,0,0,0,316.666666666667,316.666666666667
"295",10323,"Winnipeg",6,3,7916,NA,0,NA,NA,NA,10900,2200,NA,350,2240,3,3800,316.666666666667,0.5,706,75,683,344,279,448,279,220,216,397,327,380,485,485,396,610,680,830,830,603,920,880,615.166666666667,NA,126.666666666667,74.1666666666667,74.1666666666667,118.666666666667,11.6666666666667,0,0,0,15.1666666666667,0,0
"296",10325,"Winnipeg",3,9,7365,750,0,"Canadian","Canadian",9.82,NA,0,NA,900,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.916666666667,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",10361,"Winnipeg",6,5,9000,800,1,"Metis","Native Indian non-band",11.25,8000,3000,NA,600,6800,5,5800,483.333333333333,0.5,1429,475,347,371,880,271,0,686,256,512,872,653,505,505,496,685,685,0,746,789,833,884,708.333333333333,66.6666666666667,156.833333333333,230.833333333333,230.833333333333,235.333333333333,140.833333333333,140.833333333333,483.333333333333,110.333333333333,88.8333333333333,66.8333333333333,41.3333333333333
"298",10419,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",10585,"Winnipeg",3,2,7535,NA,0,"Scottish",NA,NA,NA,0,NA,103,1167,2,4800,400,0.35,908,138,1369,697,486,870,437,380,844,346,1241,360,364,577,605,630,400,400,461,0,461,0,746.25,NA,274,272.6,198.05,188.25,179.5,260,260,238.65,400,238.65,400
"300",10618,"Winnipeg",6,4,4821,875,0,"German","German",5.50971428571429,45000,NA,NA,5400,0,4,4800,400,0.5,1011,0,10,0,144,808,520,424,488,521,764,495,0,520,0,289,289,520,520,520,520,598,687.916666666667,72.9166666666667,152.5,400,140,400,255.5,255.5,140,140,140,140,101
"301",10678,"Winnipeg",6,5,9672,750,0,NA,"Italian",12.896,20000,3400,NA,2800,0,5,5800,483.333333333333,0.5,1303,828,670,584,1804,479,786,1195,1029,1424,1265,706,744,832,496,850,855,856,951,1044,1068,1145,695.083333333333,62.5,130.333333333333,111.333333333333,67.3333333333333,235.333333333333,58.3333333333333,55.8333333333333,55.3333333333333,7.83333333333331,0,0,0
"302",10701,"Winnipeg",3,2,4102,NA,0,NA,"Irish",NA,NA,1500,NA,NA,1725,2,4800,400,0.35,0,327,55,0,0,0,0,0,0,0,0,0,230,230,0,0,0,0,0,0,0,0,NA,NA,400,319.5,319.5,400,400,400,400,400,400,400,400
"303",10737,"Winnipeg",7,1,4999,NA,0,NA,NA,NA,NA,0,NA,0,1040,1,3800,316.666666666667,0.35,0,0,0,0,588,280,24,0,0,0,0,0,0,0,0,495,410,410,0,0,0,0,NA,NA,316.666666666667,316.666666666667,316.666666666667,316.666666666667,143.416666666667,173.166666666667,173.166666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"304",10743,"Winnipeg",1,9,3256,NA,0,NA,NA,NA,NA,0,NA,0,400,9,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
