"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
"132",5289,"Winnipeg",1,2,21716,NA,1,NA,"Philippine",NA,NA,0,NA,800,300
"133",5304,"Winnipeg",1,8,4668,NA,0,NA,"Canadian",NA,NA,0,NA,500,0
"134",5306,"Winnipeg",1,4,12932,NA,0,"Ukrainian",NA,NA,NA,0,NA,708,6106
"135",5337,"Winnipeg",1,9,2882,NA,0,NA,NA,NA,NA,0,NA,0,0
"136",5373,"Winnipeg",7,5,8824,NA,0,"French","German",NA,NA,600,NA,525,2900
"137",5393,"Winnipeg",2,6,9916,800,0,"Polish","Polish",12.395,NA,300,NA,2900,0
"138",5405,"Winnipeg",5,5,NA,NA,0,NA,"Irish",NA,NA,200,NA,0,130
"139",5407,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"140",5409,"Winnipeg",4,4,17319,800,0,"Canadian","English",21.64875,14000,100,NA,3750,2250
"141",5411,NA,NA,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"142",5459,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"143",5513,"Winnipeg",5,6,6909,NA,0,NA,"Canadian",NA,NA,0,NA,0,2850
"144",5556,"Winnipeg",5,4,7433,400,0,"Italian","Italian",18.5825,16000,600,NA,2000,0
"145",5580,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"146",5586,"Winnipeg",4,6,7919,800,0,"Canadian","Canadian",9.89875,NA,0,NA,0,0
"147",5615,"Winnipeg",1,5,5534,NA,0,NA,"Canadian",NA,NA,0,NA,1500,0
"148",5617,"Winnipeg",3,1,3472,680,0,"Scottish","French",5.10588235294118,NA,0,NA,0,300
"149",5632,"Winnipeg",3,4,5291,800,0,"Canadian","Canadian",6.61375,NA,600,NA,0,280
"150",5634,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"151",5647,"Winnipeg",5,5,10533,800,0,"Norwegian","Canadian",13.16625,17000,600,NA,0,3400
"152",5655,"Winnipeg",1,1,10535,NA,0,NA,NA,NA,NA,NA,NA,462,0
"153",5675,"Winnipeg",7,1,NA,400,0,NA,"German",NA,30000,150,NA,200,1000
"154",5708,"Winnipeg",4,3,7768,NA,0,NA,"Scottish",NA,34000,200,NA,1000,0
"155",5726,"Winnipeg",2,6,4519,NA,0,NA,"Canadian",NA,NA,0,NA,1300,80
"156",5875,"Winnipeg",2,6,5826,NA,0,NA,"Ukrainian",NA,NA,0,NA,0,0
"157",5899,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"158",5943,"Winnipeg",1,2,15911,NA,0,NA,NA,NA,NA,0,NA,500,0
"159",5944,"Winnipeg",1,2,5215,NA,0,NA,NA,NA,NA,0,NA,250,0
"160",5946,"Winnipeg",1,2,4438,NA,0,NA,NA,NA,NA,0,NA,0,3100
"161",5957,"Winnipeg",5,9,7282,800,0,"Mennonite","English",9.1025,17000,200,NA,NA,820
